"ParticipantID","Username","Group","StartedAt","CompletedAt","Question 1","Question 2","Question 3"
"4","admin","None","2026-04-17 12:26:12","2026-04-17 12:26:32","Satisfactory","Level 3","hi"
"37","new","Group 1","2026-04-17 14:12:05","2026-04-17 14:12:17","Excellent","Level 3","nothing"
"37","new","Group 1","2026-04-17 14:19:58","2026-04-17 14:20:06","Excellent","Level 3","gsdg"
"5","alikhan","None","2026-04-17 15:09:41","2026-04-17 15:09:41","Excellent","Level 7","Dummy qualitative reflection for Please share any add..."
"7","ava.garcia0","Treatment C","2026-04-18 05:56:59","2026-04-10 09:56:59","Sample researcher insight for participant ava.garcia0 regarding How would you descri...","Sample researcher insight for participant ava.garcia0 regarding On a scale of 1 to 7...","Sample researcher insight for participant ava.garcia0 regarding Please share any add..."
"8","isabella.brown1","Control","2026-04-18 05:56:59","2026-04-17 09:56:59","Sample researcher insight for participant isabella.brown1 regarding How would you descri...","Sample researcher insight for participant isabella.brown1 regarding On a scale of 1 to 7...","Sample researcher insight for participant isabella.brown1 regarding Please share any add..."
"9","logan.adams2","Control","2026-04-18 05:56:59","2026-04-16 19:56:59","Sample researcher insight for participant logan.adams2 regarding How would you descri...","Sample researcher insight for participant logan.adams2 regarding On a scale of 1 to 7...","Sample researcher insight for participant logan.adams2 regarding Please share any add..."
"10","sarah.kim3","Treatment C","2026-04-18 05:56:59","2026-04-17 20:56:59","Sample researcher insight for participant sarah.kim3 regarding How would you descri...","Sample researcher insight for participant sarah.kim3 regarding On a scale of 1 to 7...","Sample researcher insight for participant sarah.kim3 regarding Please share any add..."
"11","ava.brown4","Treatment A","2026-04-18 05:56:59","2026-04-14 10:56:59","Sample researcher insight for participant ava.brown4 regarding How would you descri...","Sample researcher insight for participant ava.brown4 regarding On a scale of 1 to 7...","Sample researcher insight for participant ava.brown4 regarding Please share any add..."
"12","mason.lewis5","Treatment A","2026-04-18 05:56:59","2026-04-13 13:56:59","Sample researcher insight for participant mason.lewis5 regarding How would you descri...","Sample researcher insight for participant mason.lewis5 regarding On a scale of 1 to 7...","Sample researcher insight for participant mason.lewis5 regarding Please share any add..."
"13","emma.wilson6","Control","2026-04-18 05:56:59","2026-04-15 18:56:59","Sample researcher insight for participant emma.wilson6 regarding How would you descri...","Sample researcher insight for participant emma.wilson6 regarding On a scale of 1 to 7...","Sample researcher insight for participant emma.wilson6 regarding Please share any add..."
